Date,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Dream Number,DrawNumber
2023-11-06,10,13,14,25,30,35,5,23001
2023-11-09,14,16,19,31,32,37,2,23002
2023-11-13,1,6,25,26,33,39,2,23003
2023-11-16,5,11,13,18,25,27,5,23004
2023-11-20,6,13,18,25,26,32,3,23005
2023-11-23,4,15,22,23,28,35,4,23006
2023-11-27,2,18,23,29,33,35,4,23007
2023-11-30,2,14,15,27,36,37,5,23008
2023-12-04,8,12,24,29,30,32,5,23009
2023-12-07,1,3,5,10,32,38,5,23010
2023-12-11,11,18,21,28,30,32,1,23011
2023-12-14,3,8,9,22,27,33,1,23012
2023-12-18,2,16,21,33,35,40,5,23013
2023-12-21,3,15,17,23,26,29,4,23014
2023-12-25,3,12,13,17,21,22,1,23015
2023-12-28,5,11,15,21,24,39,5,23016
2024-01-01,2,5,18,24,28,39,4,24001
2024-01-04,15,21,22,29,30,39,1,24002
2024-01-08,13,19,25,26,33,40,1,24003
2024-01-11,5,7,24,29,31,38,2,24004
2024-01-15,2,6,19,23,33,35,5,24005
2024-01-18,8,16,19,23,30,40,5,24006
2024-01-22,8,16,25,29,31,34,2,24007
2024-01-25,1,2,3,22,26,27,1,24008
2024-01-29,2,8,25,27,29,38,3,24009
2024-02-01,6,12,15,28,33,35,3,24010
2024-02-05,5,9,20,21,25,40,4,24011
2024-02-08,2,19,22,26,36,40,4,24012
2024-02-12,3,4,6,9,10,16,1,24013
2024-02-15,3,5,8,14,16,21,1,24014
2024-02-19,7,20,25,37,38,40,4,24015
2024-02-22,2,8,10,20,24,39,4,24016
2024-02-26,2,15,19,23,37,40,2,24017
2024-02-29,10,11,21,31,38,40,1,24018
2024-03-04,1,10,23,25,29,35,1,24019
2024-03-07,13,15,23,31,35,39,1,24020
2024-03-11,2,7,14,22,37,39,1,24021
2024-03-14,3,12,13,20,27,35,2,24022
2024-03-18,6,8,18,19,24,39,3,24023
2024-03-21,3,8,27,30,33,37,2,24024
2024-03-25,3,12,15,20,25,27,3,24025
2024-03-28,1,7,9,13,18,37,3,24026
2024-04-01,3,10,15,18,26,38,4,24027
2024-04-04,9,10,12,14,20,31,5,24028
2024-04-08,3,13,24,28,36,39,4,24029
2024-04-11,17,19,22,30,35,37,1,24030
2024-04-15,2,13,17,26,33,37,5,24031
2024-04-18,4,13,16,18,28,30,2,24032
2024-04-22,6,23,24,31,32,39,1,24033
2024-04-25,2,16,19,23,24,25,1,24034
2024-04-29,1,17,23,29,36,40,3,24035
2024-05-02,4,10,16,17,26,30,1,24036
2024-05-06,7,17,26,27,32,39,3,24037
2024-05-09,6,7,13,14,24,33,1,24038
2024-05-13,9,20,23,24,37,39,1,24039
2024-05-16,8,9,14,18,23,24,3,24040
2024-05-20,3,14,15,21,23,29,4,24041
2024-05-23,7,8,13,14,23,31,1,24042
2024-05-27,2,7,14,15,23,24,3,24043
2024-05-30,4,10,11,17,24,39,5,24044
2024-06-03,1,3,11,22,34,38,4,24045
2024-06-06,12,15,24,28,29,31,1,24046
2024-06-10,4,7,27,31,33,40,3,24047
2024-06-13,17,19,21,22,23,27,1,24048
2024-06-17,14,16,19,22,23,32,4,24049
2024-06-20,1,2,7,13,19,21,5,24050
2024-06-24,5,13,16,20,23,30,5,24051
2024-06-27,9,13,15,18,27,37,2,24052
2024-07-01,4,8,11,12,20,38,2,24053
2024-07-04,4,8,22,23,27,33,3,24054
2024-07-08,3,13,21,26,36,40,3,24055
2024-07-11,5,19,20,24,28,30,4,24056
2024-07-15,15,19,21,23,28,40,3,24057
2024-07-18,8,22,28,31,38,40,1,24058
2024-07-22,3,12,18,19,21,24,4,24059
2024-07-25,3,16,18,27,30,37,4,24060
2024-07-29,1,5,9,19,22,25,3,24061
2024-08-01,1,6,23,27,33,34,5,24062
2024-08-05,3,10,13,16,31,38,5,24063
2024-08-08,2,8,9,17,21,22,2,24064
2024-08-12,10,13,19,22,25,28,2,24065
2024-08-15,6,14,20,34,38,40,3,24066
2024-08-19,6,11,14,17,28,33,5,24067
2024-08-22,1,11,16,26,28,40,5,24068
2024-08-26,5,6,8,12,30,32,5,24069
2024-08-29,3,4,14,22,24,36,4,24070
2024-09-02,3,20,24,27,33,36,3,24071
2024-09-05,8,19,24,31,32,40,2,24072
2024-09-09,3,6,9,18,22,27,3,24073
2024-09-12,16,27,31,34,38,39,1,24074
2024-09-16,12,18,21,28,31,32,1,24075
2024-09-19,1,3,25,27,30,35,3,24076
2024-09-23,9,11,13,31,32,34,5,24077
2024-09-26,9,19,21,31,32,39,2,24078
2024-09-30,5,14,15,21,24,28,3,24079
2024-10-03,3,6,14,24,38,40,5,24080
2024-10-07,4,14,24,28,34,40,4,24081
2024-10-10,8,9,15,27,30,34,3,24082
2024-10-14,3,10,12,17,31,37,3,24083
2024-10-17,6,15,22,26,33,37,1,24084
2024-10-21,7,9,14,31,36,38,4,24085
2024-10-24,3,6,7,20,26,34,5,24086
2024-10-28,7,8,13,15,27,33,5,24087
2024-10-31,1,6,8,9,29,30,4,24088
2024-11-04,16,18,30,33,34,37,1,24089
2024-11-07,4,15,17,21,25,34,1,24090
2024-11-11,5,7,24,26,29,35,1,24091
2024-11-14,18,19,20,22,34,37,2,24092
2024-11-18,8,13,21,22,28,33,4,24093
2024-11-21,12,14,15,21,36,39,5,24094
2024-11-25,1,7,10,11,23,26,1,24095
2024-11-28,4,5,12,28,32,37,1,24096
2024-12-02,1,7,14,19,25,36,2,24097
2024-12-05,3,4,7,21,30,34,2,24098
2024-12-09,10,16,17,23,26,35,3,24099
2024-12-12,3,5,21,24,27,30,1,24100
2024-12-16,7,15,23,24,30,34,2,24101
2024-12-19,3,6,7,10,16,32,3,24102
2024-12-23,2,9,13,16,30,37,5,24103
2024-12-26,2,7,11,21,34,38,4,24104
2024-12-30,8,15,21,24,31,40,3,24105
2025-01-02,4,10,16,18,33,39,2,25001
2025-01-06,4,17,18,23,34,37,5,25002
2025-01-09,5,19,22,28,38,40,3,25003
2025-01-13,10,12,18,19,34,40,2,25004
2025-01-16,2,5,11,14,22,38,4,25005
2025-01-20,2,4,7,16,18,36,3,25006
2025-01-23,7,12,20,24,25,37,2,25007
2025-01-27,1,5,18,23,26,30,4,25008
2025-01-30,9,20,28,35,38,40,1,25009
2025-02-03,9,11,17,21,38,40,2,25010
2025-02-06,2,5,20,23,27,34,4,25011
2025-02-10,9,11,26,29,36,38,5,25012
2025-02-13,5,7,16,35,37,39,5,25013
2025-02-17,10,11,22,33,36,37,5,25014
2025-02-20,4,8,9,18,24,36,3,25015
2025-02-24,15,16,19,28,32,37,1,25016
2025-02-27,16,27,30,32,34,35,1,25017
2025-03-03,3,10,12,29,30,36,1,25018
2025-03-06,1,2,8,16,18,25,2,25019
2025-03-10,1,15,21,24,26,28,3,25020
2025-03-13,13,16,18,24,29,30,5,25021
2025-03-17,17,19,20,23,35,37,3,25022
2025-03-20,16,23,25,37,38,40,5,25023
2025-03-24,3,11,26,27,28,37,1,25024
2025-03-27,9,11,23,29,37,39,1,25025
2025-03-31,2,21,27,35,38,40,4,25026
2025-04-03,7,13,16,22,32,33,5,25027
2025-04-07,4,9,21,23,24,34,4,25028
2025-04-10,7,14,22,33,34,39,5,25029
2025-04-14,4,11,15,21,30,36,3,25030
2025-04-17,2,10,14,23,30,32,2,25031
2025-04-21,4,27,33,34,38,39,2,25032
2025-04-24,3,4,19,23,33,36,1,25033
2025-04-28,12,20,25,28,30,38,1,25034
2025-05-01,5,12,19,23,33,38,3,25035
2025-05-05,10,19,23,25,32,39,1,25036
2025-05-08,1,8,17,35,38,39,2,25037
2025-05-12,4,15,19,21,25,37,2,25038
2025-05-15,11,15,24,26,32,37,2,25039
2025-05-19,8,15,26,32,35,38,2,25040
2025-05-22,1,5,15,26,31,36,4,25041
2025-05-26,2,17,18,21,25,35,2,25042
2025-05-29,16,18,19,21,22,32,5,25043
2025-06-02,8,11,15,18,29,32,5,25044
2025-06-05,10,17,19,28,31,32,3,25045
2025-06-09,2,3,6,8,23,28,2,25046
2025-06-12,6,12,25,27,29,35,2,25047
2025-06-16,6,17,23,29,30,35,3,25048
2025-06-19,2,8,9,24,25,28,1,25049
2025-06-23,8,19,22,28,32,37,2,25050
2025-06-26,4,7,19,22,24,35,5,25051
2025-06-30,1,7,22,31,37,39,5,25052
2025-07-03,3,4,16,30,35,40,4,25053
2025-07-07,8,14,17,24,26,29,3,25054
2025-07-10,2,3,4,8,11,29,2,25055
2025-07-14,6,12,20,21,33,37,4,25056
2025-07-17,4,10,12,26,28,29,4,25057
2025-07-21,3,4,8,11,26,31,1,25058
2025-07-24,1,2,5,6,15,38,1,25059
2025-07-28,4,19,25,26,38,40,3,25060
2025-07-31,4,15,19,23,34,37,5,25061
2025-08-04,2,8,13,14,15,17,5,25062
2025-08-07,3,14,23,28,33,34,1,25063
2025-08-11,10,11,15,20,27,38,3,25064
2025-08-14,14,15,21,22,32,38,1,25065
2025-08-18,1,31,33,35,36,40,4,25066
2025-08-21,4,16,17,25,29,39,3,25067
2025-08-25,5,6,19,32,35,37,1,25068
2025-08-28,6,7,11,15,16,35,5,25069
2025-09-01,6,22,30,31,32,33,4,25070
2025-09-04,10,14,21,22,37,40,4,25071
2025-09-08,1,3,5,11,20,31,5,25072
2025-09-11,1,9,15,17,19,37,2,25073
2025-09-15,4,7,15,21,33,35,1,25074
2025-09-18,11,17,26,32,36,37,1,25075
2025-09-22,2,5,9,22,26,38,5,25076
2025-09-25,5,9,11,14,28,30,2,25077
2025-09-29,9,10,25,33,35,40,2,25078
2025-10-02,4,7,18,19,22,29,1,25079
2025-10-06,18,26,30,31,36,40,4,25080
2025-10-09,1,3,4,8,20,30,3,25081
2025-10-13,1,5,12,20,22,25,1,25082
2025-10-16,1,4,6,10,34,38,5,25083
2025-10-20,8,18,21,25,32,33,1,25084
2025-10-23,8,17,20,21,24,31,5,25085
2025-10-27,18,19,21,23,30,35,1,25086
2025-10-30,9,14,18,22,33,39,2,25087
2025-11-03,2,10,12,20,21,26,2,25088
2025-11-06,11,13,15,31,33,34,3,25089
2025-11-10,1,8,10,19,21,37,2,25090
2025-11-13,7,15,18,19,24,32,2,25091
2025-11-17,4,8,13,18,28,38,4,25092
2025-11-20,7,17,20,28,30,31,4,25093
2025-11-24,6,13,17,22,25,36,4,25094
2025-11-27,10,11,20,30,32,33,4,25095
2025-12-01,12,15,19,23,33,38,3,25096
2025-12-04,14,15,27,32,37,38,3,25097
2025-12-08,3,8,12,18,19,27,3,25098
2025-12-11,4,6,21,23,32,37,1,25099
2025-12-15,8,22,23,31,39,40,4,25100
2025-12-18,10,12,19,21,25,27,1,25101
2025-12-22,4,11,24,27,34,35,5,25102
2025-12-25,8,9,11,13,37,39,4,25103
2025-12-29,5,8,16,19,24,39,2,25104
2026-01-01,2,6,14,20,24,27,2,26001
2026-01-05,11,20,21,28,34,38,4,26002
2026-01-08,5,15,24,26,31,34,1,26003
2026-01-12,9,15,18,23,27,31,1,26004
2026-01-15,1,5,9,10,30,35,2,26005
2026-01-19,8,9,20,24,32,40,1,26006
2026-01-22,4,7,10,17,25,39,3,26007
2026-01-26,15,23,28,33,34,37,3,26008
2026-01-29,1,7,8,26,28,34,5,26009
2026-02-02,2,7,23,24,32,37,3,26010
2026-02-05,3,10,20,21,37,38,3,26011
2026-02-09,9,11,19,22,33,36,3,26012
2026-02-12,17,27,30,33,34,36,3,26013
2026-02-16,6,10,13,24,26,38,3,26014
2026-02-19,8,10,13,36,37,38,4,26015
2026-02-23,1,7,12,25,26,39,1,26016
2026-02-26,17,18,19,21,23,36,4,26017
2026-03-02,1,8,11,14,18,35,3,26018
2026-03-05,6,18,22,32,37,38,4,26019
2026-03-09,5,14,32,34,35,37,3,26020
2026-03-12,2,9,20,23,35,36,4,26021
2026-03-16,2,5,24,29,32,39,3,26022
2026-03-19,5,8,15,28,33,34,3,26023
2026-03-23,1,4,6,13,16,28,5,26024
2026-03-26,11,14,30,32,34,39,5,26025
2026-03-30,3,17,20,23,30,39,3,26026
2026-04-02,3,4,13,21,30,37,4,26027
2026-04-06,1,2,8,14,28,33,3,26028
2026-04-09,3,7,8,19,24,29,5,26029
2026-04-13,3,17,19,28,33,40,5,26030
2026-04-16,23,24,28,29,31,40,3,26031
2026-04-20,5,7,15,24,26,31,4,26032
2026-04-23,3,7,19,22,23,29,2,26033
2026-04-27,1,4,14,21,29,34,1,26034
2026-04-30,5,7,9,16,19,22,2,26035
2026-05-04,12,21,27,30,34,38,1,26036
2026-05-07,9,12,13,24,32,38,5,26037
2026-05-11,1,4,6,22,30,38,5,26038
2026-05-14,3,7,9,21,24,27,4,26039
2026-05-18,3,11,16,20,21,22,4,26040
2026-05-21,10,16,25,27,29,37,5,26041
2026-05-25,4,13,17,22,27,30,1,26042
2026-05-28,11,12,17,22,25,35,4,26043
2026-06-01,4,15,23,31,34,39,3,26044
2026-06-04,1,9,17,22,37,39,3,26045
2026-06-08,2,4,9,22,28,34,4,26046
2026-06-11,6,18,22,25,31,32,5,26047
